,location,date,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,population,total_deaths,total_cases,total_deaths_per_million,total_cases_per_million
0,Afghanistan,2020-02,0.0,0.0,0.0,0.0,1192734388.0,,,,
1,Afghanistan,2020-03,91.0,2.0,52.715999999999994,0.8579999999999999,1274991932.0,6.0,504.0,0.14700000000000002,12.253
2,Afghanistan,2020-04,1239.0,41.0,1156.719,38.436,1233863160.0,573.0,18935.0,13.933,460.386
3,Afghanistan,2020-05,13113.0,205.0,9310.425000000001,177.0,1274991932.0,4065.0,168674.0,98.833,4101.115
4,Afghanistan,2020-06,16173.0,455.0,18771.001,398.144,1233863160.0,12879.0,682156.0,313.146,16585.86
5,Afghanistan,2020-07,5420.0,543.0,6638.425,617.426,1274991932.0,30924.0,1054864.0,751.881,25647.833
6,Afghanistan,2020-08,2107.0,156.0,2035.8519999999999,158.007,1274991932.0,41465.0,1156512.0,1008.177,28119.29
7,Afghanistan,2020-09,1049.0,51.0,1109.854,56.289,1233863160.0,42684.0,1158531.0,1037.813,28168.388
8,Afghanistan,2020-10,1576.0,58.0,1692.994,64.86,1274991932.0,45897.0,1236939.0,1115.93,30074.786
9,Afghanistan,2020-11,5198.0,241.0,4152.997,185.996,1233863160.0,48108.0,1288904.0,1169.692,31338.256
10,Afghanistan,2020-12,5882.0,406.0,6552.151,431.286,1274991932.0,60703.0,1518973.0,1475.922,36932.129
11,Afghanistan,2021-01,3175.0,242.0,3183.004,252.85299999999998,1274991932.0,71221.0,1662158.0,1731.655,40413.502
12,Afghanistan,2021-02,691.0,43.0,963.572,52.433,1151605616.0,67726.0,1550869.0,1646.676,37707.649000000005
13,Afghanistan,2021-03,580.0,27.0,592.425,33.425,1274991932.0,76121.0,1735005.0,1850.797,42184.706
14,Afghanistan,2021-04,2549.0,112.0,2480.859,108.857,1233863160.0,75801.0,1723343.0,1843.013,41901.152
15,Afghanistan,2021-05,11918.0,337.0,8472.99,259.567,1274991932.0,84489.0,1958597.0,2054.255,47621.091
16,Afghanistan,2021-06,43459.0,1731.0,41776.566999999995,1588.285,1233863160.0,108753.0,2707622.0,2644.208,65832.795
17,Afghanistan,2021-07,29651.0,1775.0,34928.435,2001.291,1274991932.0,178415.0,4142253.0,4337.965,100714.236
18,Afghanistan,2021-08,9162.0,684.0,8863.715,661.7139999999999,1274991932.0,215479.0,4676620.0,5239.131,113706.78
19,Afghanistan,2021-09,1866.0,90.0,2061.43,112.283,1233863160.0,214917.0,4620291.0,5225.475,112337.19900000001
20,Afghanistan,2021-10,1189.0,73.0,1060.424,56.718999999999994,1274991932.0,224138.0,4819326.0,5449.675,117176.51299999999
21,Afghanistan,2021-11,1102.0,36.0,1147.138,48.285,1233863160.0,218695.0,4695655.0,5317.329,114169.586
22,Afghanistan,2021-12,712.0,44.0,875.86,45.281,1274991932.0,227134.0,4885681.0,5522.512,118789.85800000001
23,Afghanistan,2022-01,3764.0,55.0,2273.572,45.568,1274991932.0,228617.0,4924015.0,5558.572,119721.908
24,Afghanistan,2022-02,11514.0,181.0,12133.999,154.567,1151605616.0,209340.0,4709248.0,5089.871,114500.09
25,Afghanistan,2022-03,4294.0,72.0,5062.565,108.286,1274991932.0,236652.0,5445406.0,5753.929,132398.944
26,Afghanistan,2022-04,1174.0,21.0,1298.291,23.279,1233863160.0,230241.0,5345458.0,5598.051,129968.82
27,Afghanistan,2022-05,1475.0,20.0,1218.426,17.715,1274991932.0,238381.0,5557402.0,5795.973,135122.0
28,Afghanistan,2022-06,1949.0,16.0,2063.289,17.137,1233863160.0,231306.0,5433427.0,5623.949,132107.69
29,Afghanistan,2022-07,3508.0,30.0,2702.287,23.435,1274991932.0,239614.0,5686226.0,5825.94,138254.219
30,Afghanistan,2022-08,6628.0,27.0,6816.148,28.285999999999998,1274991932.0,240461.0,5846496.0,5846.537,142151.002
31,Afghanistan,2022-09,6075.0,22.0,6663.286,28.144,1233863160.0,233625.0,5872634.0,5680.326,142786.51700000002
